[[1020615.5782637402, 1244378.6333830461]]
[[1020207.9056179471, 1244367.7135800337]]
[[1020224.2853224656, 1244194.8166990054]]
[[1020284.3442390333, 1244034.6595881581]]
[[1020164.2264058978, 1243348.531965551]]
[[1020267.9645345148, 1243335.79219537]]
[[1020213.3655194532, 1243301.2128191642]]
[[1020140.5668327045, 1243519.6088794107]]
[[1020244.3049613214, 1243741.6448739944]]
[[1020930.4325839286, 1244356.7937770213]]
[[1020806.6748164557, 1244031.0196538207]]
[[1020833.9743239864, 1243878.1424116483]]
[[1020803.0348821182, 1243469.5597822708]]
[[1020613.7582965714, 1243353.991867057]]
[[1021490.9824718941, 1244174.7970601495]]
[[1020990.4915004964, 1244205.7365020178]]
[[1021254.3867399606, 1244253.9656319888]]
[[1021478.2427017131, 1243661.5663185706]]
[[1020753.8957685628, 1242114.5942251594]]
[[1019032.2068269544, 1242252.911729982]]
[[1019130.4850540652, 1242214.6924194389]]
[[1019072.2461046663, 1242514.9870022775]]
[[1019148.6847257524, 1242618.7251308947]]
[[1019367.0807859987, 1242789.8020447541]]
[[1018765.53527614, 1251821.0669431249]]
[[1016018.7885175318, 1258314.35225207]]
[[1019774.7534317919, 1243129.2259217203]]
